city,state,zip,grad year,linfield status,birthday,visit_date,entry_term,entry_type,recruiter_initials,offer_status,temp,recruited,visited_hs,commited_to,high_school,hs_address,hs_city,hs_state,hs_zip,hs_county,final_academic_interest,academic_field,acdemic_interest,position,Pos:  ATH,Pos:  DB,Pos:  DBC,Pos:  DBR,Pos:  DBS,Pos:  DE,Pos:  DL,Pos:  DT,Pos:  FB,Pos:  K,Pos:  LB,Pos:  LBS,Pos:  LBW,Pos:  LS,Pos:  OC,Pos:  OG,Pos:  OL,Pos:  OT,Pos:  P,Pos:  QB,Pos:  RB,Pos:  TE,Pos:  WR,height_feet,height_inches,height_in_inches,weight,rank,gpa,gpa_admissions,app_status,app_decision,app_decision_date,decision date no year,apply_date,apply_date_noyear,admissions_academic interest,linfield_grad_year,team_status,finished_football,id_type,recruited_final
Silverton ,OR,97381,2015,,9/4/96,1/24/15,F15,first year,,,,,TRUE,,Silverton High School,1456 Pine St,Silverton,OR,97381,Marion County,Exercise Science,Exercise Science,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,8,68,205,3,3.777,,,,null,,3/5/15,3/5/22,,null,N,FALSE,stopped,TRUE
Hermiston,OR,97838,2015,,12/20/96,2/20/15,F15,first year,,,,,TRUE,,Hermiston Senior High School,600 S 1st St,Hermiston,OR,97838,Umatilla County,null,null,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,0,72,240,3,3.53,,,,null,,3/5/15,3/5/22,,null,Filmer,FALSE,stopped,TRUE
Aiea,HI,96701,2015,,10/8/96,null,F15,first year,,,,,FALSE,,Assets High School,913 Alewa Dr,Honolulu,HI,96817,Honolulu County,Physical Education,Education,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,5,10,70,244,3,3.47,,,,null,,3/5/15,3/5/22,,null,Grades,FALSE,stopped,TRUE
Rancho Cucaomonga,CA,91701,2015,,7/30/97,null,F15,first year,,,,,null,,,#VALUE!,null,,,#N/A,Theatre Arts,The Arts,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,2,74,260,3,3.222,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Hilo,HI,96719,2015,,2/21/95,null,F17,first year,,,,,TRUE,,Kamehameha Schools Hawaii,16-714 Volcano Rd,Keaau,HI,96749,Hawaii County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,7,67,160,null,null,,,,null,,3/5/15,3/5/22,,null,N,FALSE,stopped,TRUE
San Jose,CA,97118,2015,,7/2/97,null,null,null,,,,,FALSE,,Branham High School,1570 Branham Ln,San Jose,CA,95118,Santa Clara County,Exercise Science,Exercise Science,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,1,73,210,null,3.4,,,,null,,3/5/15,3/5/22,,null,Purple Shirt?,FALSE,stopped,TRUE
Medford,OR,97504,2015,,null,1/24/15,null,null,,,,,TRUE,,North Medford High School,1900 N Keene Way Dr,Medford,OR,97504,Jackson County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,3,75,195,1,null,,,,null,,3/10/15,3/10/22,,null,N,FALSE,stopped,TRUE
Kailua-Kona,HI,96740,2015,,6/23/96,null,null,null,,,,,FALSE,,Hawaii Preparatory Academy,65-1692 Kohala Mountain Road,Kamuela,HI,96743,Hawaii County,null,null,,DBS,,,,,DBS,,,,,,,,,,,,,,,,,,,5,10,70,175,3,null,,,,null,,3/10/15,3/10/22,,null,Out,FALSE,stopped,TRUE
Medford,OR,97504,2015,,2/26/97,1/17/15,null,null,,,,,TRUE,,North Medford High School,1900 N Keene Way Dr,Medford,OR,97504,Jackson County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,0,72,185,3,null,,,,null,,3/13/15,3/13/22,,null,Out,FALSE,stopped,TRUE
Lincoln City,OR,97367,2016,,12/27/97,2/14/16,F16,first year,,,,,FALSE,,Taft High School,3780 SE Spy Glass Ridge Dr ,Oregon City,OR,97367,Lincoln County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,0,72,175,3,3.1,,,,null,,6/1/15,6/1/22,,null,Active,FALSE,stopped,TRUE
Spokane,WA,99207,2016,,10/1/97,null,F16,first year,,,,,TRUE,,Gonzaga Prep High School,1224 E Euclid Ave,Spokane,WA,99207,Spokane County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,0,72,215,3,3,,,,null,,6/1/15,6/1/22,,null,Ineligible,FALSE,stopped,TRUE
Crane,OR,97720,2016,,11/16/97,3/13/16,F16,first year,,,,,FALSE,,Crane Union High School,43277 Crane-Venator Rd,Crane,OR,97732,Harney County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,1,73,180,3,3.8,,,,null,,8/12/15,8/12/21,,null,Active,FALSE,stopped,TRUE
Redmond,WA,98052,2016,,11/21/97,2/12/16,F16,first year,,,,,TRUE,,Redmond High School,17272 Ne 104th St,Redmond,WA,98052,King County,Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,0,72,165,2,3.337,,,,null,,11/15/15,11/15/21,,null,Active,FALSE,stopped,TRUE
Reno,NV,89509,2016,,10/10/97,2/26/16,F16,first year,,,,,FALSE,,Reno High School,395 Booth Street,Reno,NV,89509,Washoe County,Pre-Medicine,Sciences,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,3,75,230,2,null,,,,null,,11/28/15,11/28/21,,null,N,FALSE,stopped,TRUE
West Linn,OR,96068,2016,,5/5/97,1/23/16,F16,first year,,,,,TRUE,,West Linn High School,5465 W A St,West Linn,OR,97068,Clackamas County,null,null,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,0,72,280,1,3.282,,,,null,,1/7/16,1/7/22,,null,N,FALSE,stopped,TRUE
Bend,OR,97701,2016,,12/17/96,2/7/16,null,null,,,,,TRUE,,Mountain View High School,2755 NE 27th St,Bend,OR,97701,Deschutes County,null,null,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,4,76,300,1,2.828,,,,null,,2/5/16,2/5/22,,null,Filmer,FALSE,stopped,TRUE
Poulsbo,WA,98370,2016,,null,3/31/16,F16,first year,,,,,FALSE,,North Kitsap High School,1780 NE Hostmark St,Poulsbo,WA,98370,Kitsap County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,10,70,215,2,2.95,,,,null,,2/5/16,2/5/22,,null,?,FALSE,stopped,TRUE
Turlock,CA,95382,2016,,4/20/98,4/1/16,null,null,,,,,FALSE,,Pitman High School,2525 W Christoffersen Pkwy,Turlock,CA,95382,Stanislaus County,null,null,,DBS,,,,,DBS,,,,,,,,,,,,,,,,,,,5,11,71,205,2,3.37,,,,null,,2/14/16,2/14/22,,null,N,FALSE,stopped,TRUE
Makawao,HI,96793,2017,,12/31/98,null,F17,first year,,,,,TRUE,,Kamehameha Schools Maui,270 Aapueo Pkwy,Makawao,HI,96768,Maui County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,6,0,72,219,2,3.4,,,,null,,3/18/16,3/18/22,,null,N,FALSE,stopped,TRUE
Tualatin,OR,97062,2017,,10/30/98,null,F17,first year,,,,,TRUE,,Tualatin High School,22300 SW Boones Ferry Rd,Tualatin,OR,97062,Washington County,Business,Business,,"WR, TE",,,,,,,,,,,,,,,,,,,,,,,WR,5,6,66,215,1,3.6585,,,,null,,5/27/16,5/27/22,,null,N,FALSE,stopped,TRUE
McMinnville,OR,97128,2017,,7/29/98,null,F17,first year,,,,,TRUE,,Mcminnville Senior High School,615 E 15th St,Mcminnville,OR,97128,Yamhill County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,2,74,238,4,null,,,,null,,5/30/16,5/30/22,,null,N,FALSE,stopped,TRUE
Keizer,OR,97303,2017,,12/30/98,9/10/16,F17,first year,,,,,TRUE,,Mcnary Senior High School,595 Chemawa Rd N,Keizer,OR,97303,Marion County,Psychology,Liberal Arts,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,1,73,304,2,2.83,,,,null,,6/10/16,6/10/22,,null,N,FALSE,stopped,TRUE
Lynnwood,WA,98037,2017,,1/21/99,null,F17,first year,,,,,TRUE,,Meadowdale Senior High School,6002 168th St Sw,Lynnwood,WA,98037,Snohomish County,Engineering,Engineering,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,11,71,200,3,3.2,,,,null,,6/13/16,6/13/22,,null,N,FALSE,stopped,TRUE
Olympia,WA,98513,2017,,12/22/98,null,F17,first year,,,,,TRUE,,River Ridge High School,350 River Ridge Dr Se,Lacey,WA,98513,Thurston County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,9,69,165,2,3,,,,null,,6/17/16,6/17/22,,null,N,FALSE,stopped,TRUE
Fresno,CA,93705,2017,,3/19/99,null,F17,first year,,,,,FALSE,,Fresno High School,1839 N Echo Ave,Fresno,CA,93704,Fresno County,Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,10,70,190,2,3.3,,,,null,,7/14/16,7/14/22,,null,N,FALSE,stopped,TRUE
Clackamas,OR,97015,2016,,5/8/98,null,null,null,,,,,TRUE,,Clackamas High School,14488 Se 122nd Ave,Clackamas,OR,97015,Clackamas County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,6,66,140,null,null,,,,null,,7/22/16,7/22/22,,null,N,FALSE,stopped,TRUE
Portland,OR,97218,2015,,1/23/97,null,S18,Transfer,,,,,TRUE,,Jefferson High School,5210 N Kerby Ave,Portland,OR,97217,Multnomah County,Political Science,Political Science,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,10,70,185,null,null,,,,null,,11/20/16,11/20/21,,null,N,FALSE,stopped,TRUE
Seattle,WA,98116,2018,,5/15/00,2/18/18,F18,first year,,,,,FALSE,,West Seattle High School,3000 California Ave SW,Seattle,WA,98116,King County,Pre-Physical Therapy,Exercise Science,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,0,72,250,2,3.52,,,,1/26/18,1/26/22,10/29/17,10/29/21,,null,Active,FALSE,stopped,TRUE
Snoqualmie,WA,98065,2017,,9/1/98,2/10/17,F17,first year,,,,,TRUE,,Mount Si High School,8651 Meadowbrook Way SE,Snoqualmie,WA,98065,King County,Psychology,Liberal Arts,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,11,71,190,2,3.75,,,,null,,11/30/16,11/30/21,,null,Active,FALSE,stopped,TRUE
Prescott,WA,99348,2017,,12/22/97,null,F17,first year,,,,,FALSE,,Jubilee Christian Academy,29 jubilee Circle,Prescott,WA,99348,Walla Walla County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,null,null,#VALUE!,null,null,null,,,,null,,12/12/16,12/12/21,,null,N,FALSE,stopped,TRUE
Tacoma,WA,98403,2017,,4/25/99,null,S18,transfer,,,,,TRUE,,Stadium High School,111 N E St,Tacoma,WA,98403,Pierce County,Exercise Science,Exercise Science,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,11,71,180,3,3.3,,,,1/29/18,1/29/22,10/18/17,10/18/21,,null,Active,FALSE,stopped,TRUE
Grants Pass,OR,97526,2018,,2/29/00,null,S19,transfer,,,,,TRUE,,Grants Pass High School,830 Ne 9th St,Grants Pass,OR,97526,Josephine County,Physical Education,Education,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,0,72,290,3,3,,,,1/3/19,1/3/22,10/8/18,10/8/21,,null,Out,FALSE,stopped,TRUE
Honolulu,HI,96816,2019,,3/12/01,12/8/18,,,,Sent Both,Warm,,TRUE,,Radford High School,4361 Salt Lake Blvd,Honolulu,HI,96818,Honolulu County,Business,Business,Business,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,5,10,70,165,2,2.595,2.595,Decided,Deny,1/8/19,1/8/22,11/2/18,11/2/21,Business,null,null,null,recruit,TRUE
Bonney Lake,WA,98391,2019,,7/2/01,,,,AB,,,,TRUE,Minot ST,Bonney Lake High School,10920 199th Avenue Ct E,Bonney Lake,WA,98391,Pierce County,Pre-Dental,Sciences,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,9,69,180,NF,3.234,3.234,Decided,Withdraw Application,1/16/19,1/16/22,10/24/18,10/24/21,Pre-Dental,null,null,null,recruit,FALSE
Moorpark,CA,93021,2019,,4/6/01,,,,PR,,,,,,Moorpark High School,4500 N Tierra Rejada Road,Moorpark,CA,93021,Ventura County,Sports Management,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,8,68,170,,2.9,2.9,Decided,Withdraw Application,1/16/19,1/16/22,12/7/18,12/7/21,Sport Management,null,null,null,recruit,FALSE
Wauna,WA,98395,2019,Out,11/22/00,1/18/19,,,GM,Sent Both,Cold,,,WSU,Peninsula High School,14105 Purdy Ln Nw,Gig Harbor,WA,98332,Pierce County,Business,Business,,LBW,,,,,,,,,,,,,LBW,,,,,,,,,,,,,0,,,2.8,2.8,Decided,Withdraw Application,1/18/19,1/18/22,1/14/19,1/14/22,Business,null,null,null,recruit,TRUE
West Covina,CA,91791,2019,Out,5/17/01,1/12/19,,,JV;  PR,Sent Both,Luke,,,Whittier,Bishop Amat Memorial Hs,14301 Fairgrove Ave,La Puente,CA,91746,Los Angeles County,Political Science,Political Science,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,2,74,235,,3.75,3.75,Decided,Withdraw Application,1/29/19,1/29/22,12/21/18,12/21/21,Political Science,null,null,null,recruit,TRUE
Santa Clarita,CA,91390,2020,,12/28/01,2/15/20,F20,first year,,,,,FALSE,,Valencia High School,27801 Dickason Dr,Valencia,CA,91355,Los Angeles County,Exercise Science,Exercise Science,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,10,70,210,3,3.95,,,,1/2/20,1/2/22,11/30/19,11/30/21,,null,,FALSE,current,TRUE
Buckley,WA,98321,2020,Out,1/18/02,,,,AB;  JV,Sent Graphic,Warm,,TRUE,,White River High School,Po Box 1683,Buckley,WA,98321,Pierce County,Pre-Engineering,Engineering,,"DT, OT",,,,,,,,DT,,,,,,,,,,OT,,,,,,6,2,74,255,,2.328,2.328,Decided,Deny,1/3/20,1/3/22,10/31/19,10/31/21,Pre-Engineering and Business,null,null,null,recruit,TRUE
Dupont,WA,98327,2020,Out,1/9/02,,,,PR,,,,,,Steilacoom Senior High School,54 Sentinel Dr,Steilacoom,WA,98388,Pierce County,Undecided,Undecided,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,,,0,,,2.625,2.625,Decided,Deny,1/3/20,1/3/22,11/12/19,11/12/21,Undecided,null,null,null,recruit,FALSE
Chelan,WA,98816,2020,,2/6/02,,,,,,,,,,Chelan High School,215 West Webster,Chelan,WA,98816,Chelan County,Art - Digital,The Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.5,2.5,Decided,Deny,1/3/20,1/3/22,11/18/19,11/18/21,Art - Digital,null,null,null,recruit,FALSE
Newberg,OR,97132,2020,,7/12/02,12/6/19,F20,first year,,,,,TRUE,,Newberg Senior High School,2400 Douglas Ave,Newberg,OR,97132,Yamhill County,Accounting,Business,,TE,,,,,,,,,,,,,,,,,,,,,,TE,,6,2,74,220,2,3.89,,,,1/14/20,1/14/22,11/3/19,11/3/21,,null,,TRUE,alum,TRUE
Dana Point,CA,92629,2020,,12/21/01,,,,,,,,,,Capistrano Valley Chrstn Sch,32032 Del Obispo St,San Juan Capistr,CA,92675,Orange County,Business,Business,Business,"DT, OG",,,,,,,,DT,,,,,,,,OG,,,,,,,,6,0,72,220,NF,2.84,2.84,Decided,Withdraw Application,1/17/20,1/17/22,10/17/19,10/17/21,Business,null,null,null,recruit,FALSE
Sherwood,OR,97140,2020,,9/15/01,12/6/19,F20,first year,,,,,TRUE,,Sherwood High School,16962 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,Chemistry,Sciences,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,10,70,215,3,3.89,,,,1/20/20,1/20/22,10/31/19,10/31/21,,null,,FALSE,current,TRUE
Carson,CA,90745,2020,,2/20/02,,,,,,,,,,Academies Education/Empowermnt,22328 Main St,Carson,CA,90745,Los Angeles County,Business,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.4,3.4,Decided,Withdraw Application,1/21/20,1/21/22,12/16/19,12/16/21,Business,null,null,null,recruit,FALSE
Port Orchard,WA,98366,2020,,3/21/02,1/18/20,F20,first year,,,,,TRUE,,South Kitsap High School,425 Mitchell Ave,Port Orchard,WA,98366,Kitsap County,Physical Education,Education,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,0,72,300,2,3.55,,,,1/23/20,1/23/22,11/1/19,11/1/21,,null,Out,FALSE,stopped,TRUE
Vallejo,CA,94591,2020,,5/26/02,,,,,,,Yes,,,American Canyon High School,3000 Newell Dr,American Canyon,CA,94503,Napa County,Economics,Business,Economics,"ATH, DB, RB, WR",ATH,DB,,,,,,,,,,,,,,,,,,,RB,,WR,5,9,69,165,3,3.461,3.461,Decided,Admit,1/24/20,1/24/22,1/8/20,1/8/22,Economics,null,null,null,recruit,TRUE
Sherwood,OR,97140,2020,,5/27/02,,,,,,,,,,Sherwood High School,16956 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,Biology,Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.68,3.68,Decided,Admit/Matric Paid,1/27/20,1/27/22,10/25/19,10/25/21,Biology,null,null,null,recruit,FALSE
Kailua Kona,HI,96740,2020,,10/18/01,,,,AB,,,,,,Kealakehe high school,74-5000 PUOHULIHULI STREET,Kailua Kona,HI,96715,Kauai County,Pre-Dental,Sciences,Pre-Dental,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,10,70,140,NF,2.4,2.4,Decided,Deny,1/27/20,1/27/22,1/15/20,1/15/22,Pre-Dental,null,null,null,recruit,FALSE
Danville,CA,94526,2020,,9/10/01,1/18/20,F20,first year,,,,,FALSE,,Monte Vista High School,3131 Stone Valley Rd,Danville,CA,94526,Contra Costa County,Sociology,Liberal Arts,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,3,75,225,3,3.02,,,,1/28/20,1/28/22,12/26/19,12/26/21,,null,Active,FALSE,stopped,TRUE
Spanaway,WA,98387,2020,,5/25/02,1/18/20,F20,first year,,,,,TRUE,,Graham-Kapowsin High School,22100 108th St,Graham,WA,98338,Pierce County,Pre-Engineering,Engineering,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,10,70,175,3,3.6,,,,1/30/20,1/30/22,12/18/19,12/18/21,,null,Active,FALSE,stopped,TRUE
Coeur dAlene,ID,83815,2021,Out,5/31/03,,,,AB,Offered,,,,,Coeur D Alene Sr High School,5530 N 4th St,Coeur D Alene,ID,83815,Kootenai County,Education,Education,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,1,73,186,1,3.847,3.847,Decided,Withdraw Application,1/7/21,1/7/22,11/23/20,11/23/21,Education Secondary,null,null,null,recruit,TRUE
Mililani,HI,96789,2021,Out,9/11/02,,,,PR,Offered,Cold,Yes,TRUE,,Mililani High School,95-1200 Meheula Pkwy,Mililani,HI,96789,Honolulu County,Pre-Engineering,Engineering,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,1,73,285,2,2.5,2.5,Decided,Deny,1/8/21,1/8/22,11/2/20,11/2/21,Pre-Engineering,null,null,null,recruit,TRUE
Ewa Beach,HI,96706,2021,,10/8/03,,,,,,,,,,Kapolei High School,91-5007 Kapolei Pkwy,Kapolei,HI,96707,Honolulu County,Pre-Engineering,Engineering,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,,,0,,,3,3,Decided,Deny,1/13/21,1/13/22,8/29/20,8/29/21,Pre-Engineering and Business,null,null,null,recruit,FALSE
Ewa Beach,HI,96706,2021,,1/16/02,,,,PR,,,Yes,TRUE,,Kapolei High School,91-5007 Kapolei Pkwy,Kapolei,HI,96707,Honolulu County,Pre-Engineering,Engineering,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,2,74,215,3,2.4,2.4,Decided,Deny,1/13/21,1/13/22,12/16/20,12/16/21,Pre-Engineering,null,null,null,recruit,TRUE
Los Altos,CA,94024,2021,,9/4/02,12/14/20,F21,first year,,,,,FALSE,,Mountainview High School,3535 Truman Ave,Mountain View,CA,94040,Santa Clara County,Pre-Athletic Training,Exercise Science,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,10,70,160,3,3.2,,,,1/14/21,1/14/22,10/29/20,10/29/21,,null,,FALSE,current,TRUE
Camas,WA,98607,2021,Many,8/4/02,12/10/20,,,AB,Offered,Cold,,,,Camas High School,26900 Se 15th St,Camas,WA,98607,Clark County,Exercise Science,Exercise Science,,"DE, TE",,,,,,DE,,,,,,,,,,,,,,,,TE,,6,4,76,220,2,3.6,3.6,Decided,Admit,1/26/21,1/26/22,1/8/21,1/8/22,Exercise Science,null,null,null,recruit,TRUE
Kaneohe,HI,96744,2021,,2/19/03,,,,,,,,,,James B. Castle High School,45-386 Kaneohe Bay Dr,Kaneohe,HI,96744,Honolulu County,Business,Business,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,9,69,170,,2.364,2.364,Decided,Deny,1/27/21,1/27/22,11/5/20,11/5/21,Business,null,null,null,recruit,FALSE
La Jolla,CA,92037,2021,Out,9/15/02,10/24/20,,,JV;  PR,Offered,Cold,,,,LA JOLLA HIGH SCHOOL,750 Nautilus St,La Jolla,CA,92037,San Diego County,Exercise Science,Exercise Science,,"DE, LB",,,,,,DE,,,,,LB,,,,,,,,,,,,,6,1,73,210,2,2.76,2.76,Decided,Withdraw Application,1/27/21,1/27/22,12/8/20,12/8/21,Exercise Science,null,null,null,recruit,TRUE
Kapolei,HI,96707,2021,Out,6/25/02,12/12/20,,,PR,Offered,Cold,,,Valley City,Punahou School,1601 Punahou St,Honolulu,HI,96822,Honolulu County,Business,Business,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,2,74,315,2,2.817,2.817,Decided,Deny,1/27/21,1/27/22,12/17/20,12/17/21,Business,null,null,null,recruit,TRUE
,CA,,2021,Out,12/9/02,12/5/20,,,,Offered,Cold,,,Western State,Oaks Christian School,31749 La Tienda Rd,WESTLAKE VILLAGE,CA,91362,Ventura County,Pre-Physical Therapy,Exercise Science,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,4,76,315,1,2.7,2.7,Decided,Deny,1/27/21,1/27/22,1/19/21,1/19/22,Pre-Physical Therapy,null,null,null,recruit,TRUE
Williams,OR,97544,2021,,1/16/03,1/9/21,,,AB;  JS,Want to,Warm,,,,Hidden Valley High School,651 Murphy Creek Rd,Grants Pass,OR,97527,Josephine County,Business,Business,,TE,,,,,,,,,,,,,,,,,,,,,,TE,,6,5,77,180,3,3.5,3.5,Decided,Withdraw Application,1/29/21,1/29/22,1/20/21,1/20/22,Business,null,null,null,recruit,TRUE
McMinnville,OR,97128,2022,,9/7/03,null,F22,first year,,,,,TRUE,,Mcminnville Senior High School,615 E 15th St,Mcminnville,OR,97128,Yamhill County,Pre-Medicine,Sciences,,LBW,,,,,,,,,,,,,LBW,,,,,,,,,,,5,10,70,195,4,3.92,,,,1/24/22,1/24/22,12/1/21,12/1/21,,null,,FALSE,current,TRUE
Vancouver,WA,98684,2022,,8/3/04,,,,AB,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,Exercise Science,Exercise Science,,"DT, OG",,,,,,,,DT,,,,,,,,OG,,,,,,,,5,10,70,215,5,3.556,3.556,Decided,Admit/Decline,1/31/22,1/31/22,10/27/21,10/27/21,Exercise Science,null,null,null,recruit,FALSE
